GPA,Credits_Completed,Exam_Scores,Attendance_Percentage,Coding_Skills,Communication_Skills,Leadership_Skills,Clubs_Joined,Events_Participated,Internship_Completed,Internship_Duration_Months,Library_Visits_Per_Week,Online_Course_Hours_Per_Week,Employment_Competitiveness
2.59,104,93,78.15,5,5,4,1,3,0,2,13,16,Low
2.66,64,59,79.68,7,9,8,3,4,1,9,3,13,High
3.35,155,99,81.98,6,6,5,0,6,1,7,6,4,High
3.5,106,67,74.78,2,4,9,1,4,1,1,3,3,Medium
3.58,35,53,50.89,3,3,6,4,7,1,7,7,2,High
3.58,96,58,66.74,5,8,2,4,6,1,11,9,6,High
2.18,28,56,59.19,4,3,1,2,6,1,7,1,10,Low
2.99,79,99,84.01,6,1,1,4,8,0,2,1,0,Low
2.12,97,57,52.84,8,4,9,2,7,0,3,2,17,High
3.1,96,92,78.19,8,5,1,0,7,0,8,13,0,High
2.88,90,56,60.53,3,5,3,3,5,1,8,3,15,Low
3.78,34,90,97.44,4,5,2,2,6,0,9,10,12,Medium
2.7,90,89,66.78,1,8,4,1,7,1,8,12,5,Medium
2.23,121,52,66.26,2,8,1,1,4,1,9,5,5,Low
2.29,41,66,96.17,9,4,1,3,9,1,5,14,13,High
3.52,132,51,70.87,2,9,4,4,1,0,0,4,4,Medium
3.24,20,64,98.14,6,1,4,1,6,1,7,9,7,Medium
2.2,29,95,51.21,7,5,7,2,9,1,8,12,17,Low
2.17,129,78,65.32,6,5,8,3,2,0,7,9,5,Medium
3.4,132,99,83.31,8,5,8,1,9,0,0,6,4,High
2.15,69,97,94.54,9,8,8,4,7,0,11,5,9,Medium
3.64,31,71,62.82,8,9,9,4,5,1,5,13,17,High
3.41,108,53,96.52,5,3,1,1,3,1,8,14,12,High
2.16,131,55,79.71,8,9,9,3,1,0,8,14,19,Low
2.17,97,87,90.05,9,8,8,0,6,1,6,3,5,Low
3.97,140,75,69.86,8,3,1,1,0,1,6,10,3,High
2.75,42,60,60.61,2,2,7,4,6,1,3,9,12,Low
2.74,153,75,95.56,2,4,9,0,9,0,6,8,17,Low
3.63,44,66,96.66,3,2,4,3,9,1,9,6,12,High
3.89,37,73,74.88,7,4,9,4,6,0,4,0,12,Medium
3.97,62,77,50.32,9,5,1,3,9,0,10,7,6,Medium
3.51,97,84,55.49,8,2,9,1,2,0,9,3,4,Medium
2.75,47,80,78.65,9,8,6,3,3,1,4,6,2,Medium
2.17,78,62,51.19,6,1,4,4,3,1,0,10,5,Medium
3.55,82,84,69.85,1,3,5,1,3,1,1,1,7,Medium
3.12,111,65,65.17,4,7,7,4,8,0,8,11,11,High
2.85,75,64,85.72,6,1,4,4,5,0,1,2,1,High
3.81,130,92,52.78,6,2,8,0,9,1,9,0,10,Medium
2.22,156,67,74.44,8,3,3,2,8,1,10,1,19,High
2.99,87,96,78.96,1,2,2,3,3,0,11,10,2,High
2.02,65,86,80.86,2,2,1,3,6,1,1,4,9,Low
2.94,86,97,70.26,2,6,6,0,9,0,8,1,7,High
2.11,155,97,65.22,6,7,2,3,8,0,2,12,7,High
2.24,25,98,84.12,7,6,8,0,9,0,1,5,13,High
2.24,43,90,92.38,2,6,4,3,2,0,6,5,3,Low
3.3,113,76,84.68,5,9,9,3,2,1,11,5,14,High
3.49,32,84,96.61,6,8,4,4,5,0,8,11,9,High
3.17,44,94,85.86,4,8,4,0,7,0,10,10,17,Medium
3.92,137,84,88.23,1,6,8,3,0,1,5,13,14,Low
2.75,101,77,58.4,3,5,8,2,3,0,11,14,18,Medium
2.57,130,88,70.98,9,9,5,0,7,0,6,2,2,Medium
3.74,101,87,74.25,6,2,3,0,5,0,2,10,1,Medium
2.45,85,58,62.81,2,7,2,0,1,0,10,2,12,Medium
3.93,64,61,76.43,9,6,9,4,7,1,2,9,12,Low
2.02,133,64,64.54,4,7,9,0,0,1,7,6,8,Low
3.94,82,70,84.38,8,4,5,4,0,1,6,12,2,Medium
2.09,95,84,73.51,7,9,8,2,6,1,4,12,1,High
3.78,133,91,72.94,3,7,7,1,9,0,5,3,13,Medium
3.06,130,82,99.18,8,2,3,4,2,0,8,5,15,High
3.99,54,68,69.62,4,4,5,3,7,1,2,11,13,High
2.15,72,72,68.11,2,5,9,0,8,0,11,7,3,High
3.11,45,62,65.93,5,2,4,1,7,1,2,2,1,Low
3.94,33,93,94.74,1,8,3,4,0,0,10,8,15,Low
3.05,137,50,74.84,8,1,7,3,0,1,5,8,7,High
3.26,64,78,80.0,8,3,8,1,5,1,10,14,0,Low
3.39,70,73,59.04,3,1,5,2,0,1,7,2,17,Medium
2.91,138,65,77.05,1,5,8,4,7,1,4,5,8,Medium
3.26,38,74,63.73,4,8,5,4,5,0,0,4,11,Medium
3.17,101,72,86.53,9,7,9,2,4,0,2,3,4,High
3.8,95,77,91.63,9,9,7,4,5,0,7,7,2,Low
2.09,111,96,85.74,1,2,5,0,3,1,3,9,7,High
2.56,52,65,86.51,7,8,9,4,0,1,8,8,15,Medium
3.9,47,92,75.62,6,8,5,0,6,0,5,14,17,Low
3.78,142,87,85.61,7,6,8,4,9,0,9,11,11,Low
2.91,145,60,71.13,7,3,4,3,8,0,3,8,11,Low
3.24,56,52,82.57,8,2,9,3,3,0,3,4,3,Low
2.55,118,64,62.95,8,8,6,1,3,1,9,4,9,Medium
2.38,117,50,53.49,2,6,6,3,8,1,4,10,8,Low
2.93,146,56,70.67,4,4,3,2,3,0,6,2,3,Medium
2.71,99,50,73.09,4,5,3,1,9,0,11,8,0,Low
3.17,57,98,62.82,8,5,4,3,3,0,6,0,4,Medium
2.16,96,81,86.39,3,9,1,0,7,1,9,11,2,High
3.95,145,58,53.68,3,9,6,4,3,0,6,2,10,High
3.97,106,78,61.14,2,8,1,3,8,1,4,6,12,Medium
3.4,73,75,87.43,1,8,4,0,7,1,11,6,10,High
3.07,35,72,71.86,8,2,7,1,4,0,8,4,5,Medium
2.62,47,94,85.26,9,3,6,4,8,0,1,5,3,Low
3.63,65,92,78.37,9,8,8,3,7,0,7,3,6,Medium
3.37,91,78,97.54,8,5,4,1,9,1,9,7,2,Low
2.33,104,87,79.89,5,7,9,3,3,0,7,3,9,Low
3.82,45,82,50.74,1,8,8,1,3,0,2,9,4,Low
3.65,104,56,67.64,9,6,5,3,0,1,4,14,18,Low
3.9,84,61,57.15,6,5,6,0,3,1,7,5,17,Medium
3.45,153,80,96.23,7,8,5,2,7,1,9,4,16,High
3.23,134,81,55.2,8,1,6,0,4,0,8,11,0,High
2.84,83,69,69.39,5,1,1,4,5,1,6,13,4,High
3.87,106,66,61.3,6,1,4,3,3,1,3,9,16,Medium
3.73,126,85,92.34,7,3,9,2,4,1,3,5,8,Low
2.09,115,52,65.43,7,6,4,2,9,1,2,2,10,High
2.05,96,50,99.59,2,6,2,4,7,1,10,12,6,Low
2.75,106,99,51.93,1,5,6,4,8,0,7,2,6,High
3.62,76,76,56.41,8,7,2,2,2,1,5,9,1,High
3.97,122,96,61.23,5,5,3,4,9,1,9,6,13,Low
2.3,110,89,90.56,2,2,7,4,3,1,5,12,15,Low
3.19,64,82,93.93,3,4,4,3,0,0,9,0,4,High
2.76,107,69,53.57,6,1,1,0,4,0,9,0,17,Medium
3.94,134,63,51.62,6,7,9,1,3,1,8,0,3,Medium
3.68,66,85,87.23,8,4,6,2,5,1,10,5,11,High
3.68,154,54,56.67,5,4,9,1,5,1,2,3,18,Medium
2.94,69,72,56.65,5,4,3,2,9,1,3,13,12,Medium
2.83,103,94,51.12,7,3,5,2,5,0,2,5,5,Medium
2.55,110,64,52.49,5,8,9,0,2,0,2,13,10,Low
2.11,153,55,63.18,9,4,6,2,6,0,0,13,14,Low
3.73,110,82,53.25,6,8,2,2,2,1,9,14,16,Low
3.63,156,68,68.44,7,9,1,0,5,1,5,0,1,Medium
4.0,128,62,91.64,8,1,9,4,9,0,8,3,12,Low
3.99,76,78,66.32,5,4,1,1,0,0,4,3,0,Low
3.11,50,55,86.39,4,6,5,2,7,1,11,1,3,High
3.54,40,64,54.7,8,8,1,0,6,0,11,0,14,Medium
3.89,109,65,82.97,9,6,5,2,8,0,11,12,15,Medium
3.7,59,73,65.84,1,6,5,0,2,0,9,7,10,High
2.49,131,72,87.49,3,4,7,1,7,0,1,5,2,High
2.9,64,97,56.81,4,9,7,3,1,0,9,3,11,High
2.26,96,59,94.89,7,7,1,4,8,1,3,1,11,Medium
3.91,106,90,62.13,6,6,9,3,0,1,11,11,10,High
3.21,120,90,67.66,1,1,1,0,9,1,5,12,15,High
2.46,136,98,97.51,4,2,5,2,6,1,6,4,12,Medium
3.34,111,66,78.92,6,6,7,4,9,0,11,8,11,High
3.24,47,98,68.29,3,1,8,1,0,1,6,6,9,High
2.72,44,93,97.48,2,5,2,4,5,0,3,3,10,Low
2.23,77,94,66.45,2,1,1,2,0,0,9,14,17,High
3.34,60,79,54.74,4,3,4,3,3,1,9,4,4,High
3.04,153,93,99.84,1,7,4,0,6,1,4,7,19,Low
3.54,94,95,63.39,2,5,6,3,1,1,3,10,12,Medium
3.04,57,59,92.56,2,1,1,4,2,1,11,12,16,Medium
3.7,153,68,58.28,4,1,1,2,3,0,9,4,11,Medium
3.1,94,78,86.57,4,8,3,0,5,0,5,11,16,High
3.12,85,51,76.22,1,9,5,2,8,0,10,5,0,Medium
3.75,22,85,99.05,7,7,6,2,3,1,6,12,7,Medium
2.81,136,68,77.64,7,3,5,4,5,1,1,9,15,Medium
2.27,118,56,51.25,1,6,5,3,6,0,9,5,14,Low
2.06,38,75,80.19,8,3,9,2,3,0,11,7,18,High
3.51,135,64,57.27,7,4,2,2,5,1,2,12,9,High
3.24,144,96,89.93,7,4,1,2,2,1,10,10,1,Low
3.41,107,87,92.83,6,3,6,0,4,0,7,4,3,High
2.43,54,52,74.1,4,6,9,2,9,0,6,0,3,High
2.27,20,87,89.16,8,5,7,2,3,0,11,3,19,Low
2.03,145,65,57.26,2,9,8,4,6,1,0,2,11,Medium
2.7,108,51,74.6,7,9,5,2,5,0,3,1,16,High
3.18,44,80,69.7,3,3,4,2,6,0,4,6,3,Low
2.78,35,77,80.57,3,9,6,4,5,1,2,12,7,High
2.87,92,56,52.22,7,3,3,0,1,0,3,12,15,High
3.81,148,79,87.61,3,4,1,3,6,0,9,6,14,Medium
2.7,61,92,53.96,5,1,4,4,7,0,9,14,13,Low
3.03,99,56,82.82,8,5,9,0,6,1,9,7,18,High
3.57,123,85,50.92,4,9,4,3,3,1,6,14,10,Low
2.79,53,78,91.59,7,2,1,2,3,0,7,9,12,High
3.24,108,73,58.73,7,4,4,4,4,1,11,14,7,Low
3.72,144,88,75.77,2,2,7,2,8,0,8,4,8,High
3.9,64,53,63.07,8,8,3,4,4,0,1,14,1,Medium
2.29,153,78,86.13,9,9,6,3,1,1,3,0,19,Medium
3.85,40,93,66.07,6,3,1,0,4,0,0,5,1,High
2.98,141,54,86.23,5,9,4,4,2,1,2,5,7,High
2.52,89,78,64.24,1,6,3,0,9,1,7,10,17,High
2.92,115,79,87.62,1,6,1,2,7,0,6,7,6,Medium
3.96,124,78,51.53,9,7,3,2,9,0,7,12,10,Low
2.99,67,75,64.17,4,5,4,3,9,1,10,9,19,High
2.66,58,68,74.93,1,6,5,3,1,1,5,14,0,High
3.27,50,75,52.25,3,1,6,1,3,0,4,1,15,Medium
2.48,29,86,59.3,6,3,2,1,4,1,11,10,15,Low
2.15,49,76,96.73,8,9,2,3,3,0,11,8,9,High
2.26,37,79,98.84,2,5,6,2,4,0,9,10,16,Low
2.26,107,79,86.99,8,5,5,0,9,1,8,12,9,Medium
2.3,144,52,62.61,1,8,1,3,3,0,4,5,5,High
2.28,92,92,63.03,2,2,3,0,2,1,8,0,13,Medium
3.28,34,56,82.29,8,7,5,1,0,0,3,8,14,Low
2.36,23,98,55.88,7,9,2,0,3,0,11,7,3,Low
2.69,28,58,97.42,5,7,1,3,8,0,4,9,1,Medium
3.79,128,90,61.24,2,5,9,2,0,0,0,0,18,Low
2.95,156,91,99.98,9,6,5,3,6,0,5,7,12,Medium
3.34,151,62,74.79,5,4,2,4,2,0,2,12,11,Medium
2.34,35,64,88.57,8,7,4,4,7,1,10,6,12,Medium
2.38,118,54,50.11,4,1,3,4,5,1,9,4,14,Medium
2.08,140,78,94.44,9,4,7,2,0,0,1,14,1,Medium
2.34,71,84,63.5,7,3,1,3,9,1,5,12,7,Medium
2.56,88,76,83.4,2,4,4,4,4,1,0,5,2,Low
2.35,24,76,90.32,3,1,7,3,7,1,11,3,0,Low
2.18,39,57,58.21,2,2,5,1,2,1,8,8,10,Low
2.24,98,81,72.13,5,9,4,4,3,1,4,8,8,High
2.92,130,69,74.69,2,7,4,4,6,0,6,12,16,High
2.41,21,59,65.61,5,6,2,2,5,0,10,14,6,Medium
2.73,112,62,74.09,9,2,8,3,6,0,9,9,3,Low
3.01,32,78,65.88,2,1,4,2,8,0,8,13,12,Medium
3.38,23,84,68.04,9,2,2,2,8,0,8,0,4,Low
2.08,128,57,83.47,7,7,9,3,1,1,6,11,11,Medium
3.6,93,78,81.63,7,2,7,1,2,1,3,8,19,Low
3.26,114,80,61.61,5,3,3,3,3,0,3,2,4,High
2.16,124,90,94.87,8,8,7,1,5,0,6,11,10,High
3.75,27,79,93.14,7,7,1,2,4,1,7,1,1,High
3.84,86,71,75.45,6,9,1,1,5,0,6,3,3,High
2.12,129,70,71.66,2,4,4,1,7,0,10,3,9,High
2.55,28,61,68.84,6,7,4,1,1,1,9,8,6,Medium
3.61,136,60,85.36,2,1,4,4,5,0,3,3,11,Low
3.5,30,51,83.58,1,2,9,4,8,0,3,4,7,Low
2.37,118,99,59.81,9,7,6,2,4,0,7,5,15,High
2.42,61,90,83.57,5,2,3,3,0,0,11,3,1,Medium
2.74,139,51,62.62,4,6,6,1,7,0,8,0,2,High
2.97,31,83,50.93,8,9,2,4,3,1,6,12,16,Low
3.24,56,52,84.96,5,5,2,3,7,0,11,1,14,High
2.74,93,65,82.24,7,7,7,1,3,0,2,2,17,Medium
2.93,92,53,70.54,3,1,3,3,7,1,11,3,9,Low
3.49,71,72,76.28,8,8,7,0,8,0,9,4,1,High
2.07,149,99,97.36,8,9,3,1,4,0,0,12,16,Medium
2.5,75,69,79.76,3,5,2,3,4,1,4,9,15,Low
3.43,79,74,82.89,9,6,4,1,1,1,5,9,6,Low
3.79,42,79,53.2,8,8,4,1,8,1,10,2,18,Low
3.02,122,67,58.3,1,4,3,0,3,1,8,10,15,High
3.06,59,91,65.05,8,2,9,3,2,1,4,0,0,High
2.21,83,60,76.97,4,8,6,2,1,0,0,10,3,Low
2.89,104,78,88.83,6,2,5,4,2,1,10,10,12,High
3.07,108,66,66.06,9,5,6,1,3,1,10,14,9,High
2.48,50,75,67.82,5,6,8,1,8,1,3,7,10,Medium
2.54,39,72,62.81,7,5,5,1,5,1,1,7,18,High
2.75,149,97,62.73,1,6,4,1,9,0,3,12,14,High
2.04,32,69,97.44,9,6,7,4,4,1,6,3,10,High
2.64,141,94,81.77,6,3,5,2,8,0,8,14,2,Medium
2.42,122,51,57.8,4,3,4,0,7,0,11,6,1,Medium
2.65,125,73,86.11,6,9,5,2,5,1,2,14,10,Low
2.24,138,80,86.1,5,3,4,4,2,0,2,3,9,Medium
3.78,89,76,83.32,3,3,8,3,6,0,10,13,2,Low
3.19,118,51,56.74,7,2,8,0,9,0,3,2,4,High
3.36,101,63,70.4,3,7,1,0,5,1,6,6,14,Low
3.58,94,53,55.34,2,4,3,3,7,1,5,13,3,Medium
3.0,137,98,90.83,4,1,4,1,5,0,4,5,16,Medium
2.17,103,62,82.76,7,6,2,4,9,1,3,0,0,Low
3.07,88,85,75.36,5,5,5,3,3,1,11,8,0,High
3.17,78,84,67.15,9,2,8,2,9,1,7,11,11,Low
3.49,145,93,59.21,7,6,2,2,6,0,11,1,9,Medium
2.86,130,57,55.32,9,1,9,3,6,1,3,12,8,High
2.26,81,51,98.46,9,3,7,4,7,1,2,2,8,Medium
2.57,147,55,59.98,2,4,6,0,1,0,6,4,19,Low
2.73,124,80,52.99,1,3,8,0,5,1,1,14,19,Low
3.29,87,59,98.08,4,6,2,1,2,0,3,2,13,Medium
3.14,34,93,77.45,4,4,5,4,7,1,7,2,18,High
2.71,54,70,89.83,2,1,4,2,3,1,3,7,9,High
3.97,33,91,52.19,3,5,8,2,3,1,9,13,2,Low
3.21,121,59,78.35,3,5,1,1,1,1,11,3,19,Medium
2.47,119,72,69.91,5,9,3,2,5,0,6,12,16,Medium
2.2,26,52,88.6,1,8,8,1,5,1,1,12,2,Medium
2.31,49,81,51.92,9,8,5,1,0,0,10,9,11,High
2.49,68,69,70.08,8,5,4,3,7,0,4,1,14,Medium
2.32,130,59,89.95,8,8,6,0,2,1,11,4,4,Medium
2.37,91,78,76.13,3,7,5,4,0,1,3,1,14,Medium
2.57,99,90,77.5,2,1,3,4,9,1,8,9,19,High
2.35,102,95,54.86,1,7,5,0,0,1,6,10,15,Low
3.79,61,83,56.62,6,8,4,4,0,1,8,11,8,Low
2.16,36,86,83.85,1,3,1,2,4,1,10,7,7,Low
3.05,26,69,83.75,5,9,1,2,4,1,9,14,10,Medium
2.82,29,57,98.96,9,8,7,4,0,1,6,2,8,Medium
3.96,53,56,85.6,9,2,4,3,4,1,1,13,15,Medium
2.22,55,55,74.66,4,6,1,4,6,0,11,1,13,Low
2.8,25,60,92.87,7,4,6,1,4,1,1,2,14,Low
3.94,153,93,55.22,7,3,1,1,8,1,1,2,13,Low
3.73,48,67,72.46,4,6,8,0,3,0,4,0,9,High
3.63,145,91,64.36,5,9,9,2,8,1,0,2,12,High
2.52,100,78,55.23,9,2,3,3,7,1,6,2,0,Medium
2.34,94,74,88.18,7,5,7,4,0,0,1,3,8,Low
3.34,45,70,75.54,7,6,5,1,3,1,3,12,16,Medium
3.86,146,95,77.84,7,4,3,2,6,0,8,7,16,Medium
3.11,134,52,70.56,9,7,5,2,0,1,7,8,9,Low
3.14,145,67,73.02,5,2,7,3,7,1,9,0,12,High
2.56,47,73,55.8,6,7,7,3,1,1,1,0,17,Medium
3.54,150,96,83.65,3,2,9,3,7,0,3,5,12,Medium
2.37,94,87,71.62,1,1,8,3,3,0,3,0,12,High
2.65,97,59,90.84,2,5,4,1,7,0,1,11,9,Medium
2.85,109,76,59.81,8,2,5,3,0,0,1,4,19,Medium
3.02,40,61,60.25,1,8,5,2,4,1,4,13,6,Medium
2.48,73,56,82.29,7,8,2,2,8,0,10,11,6,Low
2.23,122,66,92.3,5,1,7,4,6,1,3,0,8,Medium
3.22,78,50,73.61,6,4,7,2,2,1,7,12,15,Medium
2.58,91,99,86.35,8,9,9,2,3,1,3,7,14,Medium
3.16,39,75,99.97,4,5,9,1,9,1,7,11,2,Low
2.31,131,64,99.51,6,6,4,2,6,1,4,4,12,Low
2.96,78,82,87.22,3,3,5,0,5,0,0,5,10,Low
3.07,90,86,86.98,7,5,7,2,3,1,8,3,7,Low
2.1,156,96,62.38,2,1,7,4,2,1,7,14,5,High
2.67,128,80,91.68,8,8,8,4,1,0,0,12,9,High
2.27,148,84,70.26,7,6,8,3,9,1,11,7,16,High
2.13,75,50,98.1,8,2,2,1,8,0,2,11,19,High
3.98,54,57,54.07,2,4,9,4,2,1,2,8,8,High
2.64,142,61,71.79,3,4,4,0,6,0,4,8,13,Low
3.62,150,68,77.79,4,9,1,0,0,1,6,0,19,High
2.51,123,74,70.26,9,9,1,3,7,1,0,13,12,Low
3.36,26,81,60.53,5,5,5,1,0,0,0,6,0,Medium
3.52,46,61,79.65,6,3,7,1,1,1,9,3,18,Medium
3.19,20,62,87.8,1,1,5,2,0,1,5,12,8,Medium
2.94,106,77,82.24,4,6,3,0,3,0,4,12,16,Low
2.82,60,50,61.72,4,8,7,0,1,0,11,9,14,High
2.7,142,55,86.58,8,1,1,0,0,1,11,10,19,High
3.86,94,57,62.84,8,1,1,0,0,0,2,7,4,Low
3.66,61,53,58.76,6,7,2,4,1,1,2,14,3,Medium
3.93,136,54,84.53,8,7,1,1,5,0,3,6,3,Low
2.25,82,74,92.14,9,2,9,2,1,0,10,0,14,Low
3.46,146,71,74.08,5,3,4,4,1,0,9,0,4,Medium
3.88,152,77,76.57,1,2,7,1,7,1,1,0,16,Low
2.36,67,88,65.14,1,6,5,3,4,1,8,1,6,Low
2.13,22,72,74.73,2,8,7,0,7,1,11,9,5,Medium
3.48,135,53,56.6,2,8,7,2,7,0,3,1,14,High
3.15,118,53,97.79,5,1,1,1,1,1,9,8,19,Low
3.68,135,96,90.02,7,9,1,3,6,1,2,4,13,Low
2.28,33,70,83.4,7,8,3,0,8,0,9,0,9,Low
3.59,131,86,76.91,4,9,2,3,7,0,10,6,5,Low
2.4,80,90,89.61,4,9,7,3,8,1,6,9,9,Low
2.33,114,51,74.74,3,6,3,4,7,1,8,1,19,Medium
2.33,36,56,65.0,2,3,7,3,3,1,11,2,8,High
3.63,143,98,58.02,3,1,9,4,9,1,1,3,12,High
3.33,43,65,82.38,8,8,1,4,6,1,5,2,13,Low
3.05,135,66,96.47,1,3,3,3,8,0,4,2,0,Low
2.72,101,69,57.68,4,7,6,1,8,1,0,8,0,Low
3.75,69,72,59.0,7,6,9,3,3,1,10,11,18,High
2.78,98,83,71.68,5,3,5,3,6,1,6,14,8,High
3.63,98,60,90.34,2,6,3,1,5,0,0,3,4,Low
2.88,89,83,64.7,1,3,8,0,2,0,9,7,16,High
2.75,46,82,62.7,6,9,5,2,9,1,8,0,15,Low
2.93,34,75,81.0,5,1,6,0,5,1,3,12,11,Medium
2.6,69,51,76.78,3,8,2,3,7,1,7,5,4,High
3.5,55,72,53.01,9,5,4,0,1,1,0,14,5,Medium
3.01,27,90,54.07,3,4,1,2,2,0,4,0,19,Low
2.46,98,71,82.15,2,1,4,0,7,1,2,4,10,Medium
3.8,150,83,73.26,5,9,1,2,3,1,3,6,18,Low
2.77,66,64,98.55,9,9,4,0,3,1,11,12,5,High
3.09,124,59,83.93,8,5,2,4,1,0,3,11,9,High
3.81,117,64,50.5,6,9,6,3,9,0,7,0,14,Medium
3.25,115,91,74.05,3,9,6,2,0,0,9,8,17,Low
2.23,135,78,70.72,6,7,8,3,6,0,9,11,6,Medium
3.88,32,72,55.34,5,8,9,4,3,0,2,10,2,Low
3.26,20,66,96.16,1,1,8,0,5,1,0,8,15,High
2.67,53,58,90.25,5,4,1,3,7,0,4,5,12,High
2.28,98,99,61.5,7,4,3,0,6,1,1,14,16,High
3.59,97,85,62.8,9,9,6,0,6,1,10,13,3,Medium
3.24,140,58,51.6,1,3,1,3,5,1,5,1,18,High
3.07,112,65,64.84,3,1,8,2,3,0,3,1,3,Low
3.79,117,85,79.23,8,5,6,2,3,0,8,8,11,High
3.58,101,97,71.04,6,7,1,3,8,0,6,12,3,High
2.3,57,82,98.46,5,4,2,2,4,1,1,13,16,Medium
2.62,33,80,52.8,2,9,6,1,8,1,6,13,17,Medium
2.5,155,55,79.57,3,6,8,0,8,0,9,3,5,Medium
3.49,110,59,92.92,2,6,5,3,3,0,7,14,18,Medium
2.07,73,65,74.04,1,3,1,4,1,0,2,5,4,High
3.14,149,53,50.15,7,5,2,3,1,1,2,12,1,Low
3.52,120,71,62.14,3,6,4,3,8,1,10,9,10,Medium
3.75,108,62,66.19,7,4,4,0,8,0,1,1,12,Medium
2.68,75,65,98.3,7,3,7,4,2,1,11,14,4,Low
3.64,113,78,95.59,8,5,2,0,4,1,0,3,7,Medium
2.22,112,55,97.46,1,7,7,2,4,0,2,1,10,High
3.69,103,75,91.29,5,6,7,3,1,1,9,14,3,High
2.25,104,60,67.58,9,2,7,0,1,1,11,2,17,High
2.79,41,73,95.29,7,1,3,1,9,1,10,1,14,Medium
3.59,54,78,99.08,1,5,6,3,0,0,6,13,4,High
2.3,35,52,67.5,8,5,6,2,1,1,10,7,11,Low
2.46,69,59,63.03,3,6,4,0,6,1,8,4,3,Low
3.44,141,50,77.35,4,3,1,0,0,0,8,4,3,Low
3.44,147,92,59.36,4,1,9,1,0,0,5,7,19,Low
3.28,132,75,51.63,8,4,2,2,8,1,5,10,8,High
3.39,36,61,97.29,1,4,9,1,1,1,10,14,8,Low
3.09,99,63,96.29,8,2,8,3,3,1,4,7,13,Low
2.5,149,74,58.13,9,8,1,4,2,0,1,12,7,Low
2.69,151,57,70.39,9,6,7,0,3,0,6,6,0,Low
2.36,104,92,91.55,5,3,3,1,6,1,0,4,10,High
3.82,113,53,83.05,4,1,9,0,9,0,5,6,3,Medium
3.17,153,77,69.74,4,3,5,0,1,0,3,12,16,High
2.8,100,56,87.21,9,8,3,1,1,0,2,0,16,Low
2.92,88,59,94.85,8,4,8,0,8,0,10,2,18,Medium
3.89,88,85,96.31,7,3,3,2,5,0,0,14,12,Medium
2.31,35,51,68.94,3,4,7,2,6,0,5,2,18,Medium
3.17,70,75,58.68,4,4,7,4,4,1,6,1,16,High
3.01,124,99,95.64,9,2,7,2,4,1,10,5,19,Medium
3.22,85,63,54.63,8,4,1,1,3,1,0,2,11,Medium
2.04,28,65,86.08,1,9,5,2,7,0,10,14,19,Low
3.74,126,92,57.02,3,4,1,4,6,1,0,3,13,Low
3.86,119,91,69.47,2,1,7,3,9,1,6,2,8,High
3.13,105,66,70.58,2,1,8,3,1,0,10,6,11,Low
3.39,83,95,57.94,8,1,7,1,1,1,11,3,16,Medium
3.84,41,71,96.13,6,5,1,4,5,1,5,4,15,High
3.41,129,53,50.13,6,6,3,2,0,1,6,13,11,Low
2.31,116,68,94.69,4,6,3,4,6,1,7,6,9,Low
3.15,37,51,94.19,1,6,7,0,7,0,7,3,1,High
3.21,90,88,65.85,7,9,4,4,9,1,8,13,2,High
2.85,146,58,85.21,8,1,3,2,7,0,8,5,4,Low
3.47,116,68,62.64,2,6,6,1,2,0,6,8,15,Low
3.87,20,65,87.94,2,8,6,0,6,1,8,14,12,Low
3.85,151,74,78.06,1,8,5,4,0,0,5,5,17,High
2.9,23,97,65.01,4,3,6,3,2,0,8,4,1,Medium
2.23,144,67,70.01,6,5,3,2,5,0,10,14,0,Low
3.97,101,72,84.49,5,4,5,1,8,0,1,14,8,Low
3.68,46,70,95.3,4,1,9,2,4,1,10,11,17,Medium
2.25,78,60,56.54,4,9,4,4,4,1,1,13,4,Medium
3.84,51,88,78.57,7,5,2,1,8,0,5,12,2,High
3.74,47,90,62.69,7,2,5,3,8,0,2,0,4,Low
3.04,125,53,90.07,2,2,3,0,5,0,1,7,11,Low
3.18,124,74,53.51,7,7,3,4,4,0,7,4,7,Low
2.8,89,81,84.45,2,4,4,1,9,1,6,4,7,High
2.11,81,79,58.75,4,1,4,0,1,0,7,2,6,Low
2.67,53,94,79.82,1,5,5,1,7,1,5,9,1,Medium
3.61,106,75,91.78,5,2,7,4,7,0,8,11,0,Medium
2.01,133,85,87.75,1,7,4,1,6,0,8,1,0,Low
2.67,125,83,87.65,4,9,7,3,7,0,1,0,7,Low
2.8,75,58,75.89,9,1,9,1,2,1,9,8,16,High
3.07,132,61,94.54,8,2,3,4,2,1,4,4,4,High
3.84,32,51,79.41,6,6,5,1,1,1,8,9,13,High
2.69,37,87,95.88,8,8,4,0,0,0,2,11,7,Medium
2.69,132,54,77.33,5,7,9,0,2,1,4,14,19,High
3.48,58,54,75.3,7,9,5,2,2,0,7,3,17,High
2.9,98,71,61.12,8,2,2,2,6,0,1,6,6,High
2.45,49,54,77.24,7,9,1,3,9,1,5,12,13,Low
2.9,117,53,57.03,4,4,7,0,8,0,10,3,13,Low
2.28,77,58,93.48,5,3,1,2,0,1,3,10,5,Medium
2.35,86,78,83.79,6,7,8,1,7,0,11,14,2,Low
3.0,90,71,99.68,6,5,9,3,0,0,11,1,13,High
2.84,125,76,54.6,9,5,7,4,2,0,5,8,13,Medium
